month,total_revenue
2019-01,770.43
2019-02,1492.01
2019-03,4935.01
2019-04,7182.49
2019-05,5978.81
2019-06,11185.8
2019-07,15075.68
2019-08,14668.95
2019-09,21443.99
2019-10,17551.74
2019-11,17674.41
2019-12,19771.39
2020-01,24962.84
2020-02,24488.74
2020-03,30503.09
2020-04,35544.39
2020-05,39685.36
2020-06,35216.47
2020-07,33810.11
2020-08,45574.42
2020-09,50123.71
2020-10,46514.66
2020-11,47798.35
2020-12,49619.25
2021-01,53310.79
2021-02,51123.58
2021-03,56929.55
2021-04,62362.96
2021-05,73904.28
2021-06,62543.67
2021-07,65554.43
2021-08,67967.69
2021-09,77078.89
2021-10,81188.08
2021-11,87912.36
2021-12,86574.84
2022-01,92500.98
2022-02,88647.75
2022-03,92965.71
2022-04,108193.81
2022-05,106465.1
2022-06,114001.74
2022-07,109227.34
2022-08,119304.84
2022-09,124968.26
2022-10,125401.66
2022-11,128867.15
2022-12,140175.23
2023-01,144894.54
2023-02,129808.57
2023-03,150268.1
2023-04,152649.54
2023-05,165131.05
2023-06,162004.64
2023-07,169981.04
2023-08,181789.37
2023-09,184143.42
2023-10,200605.71
2023-11,196274.97
2023-12,206287.16
2024-01,223416.37
2024-02,217219.29
2024-03,227239.88
2024-04,243930.1
2024-05,264566.81
2024-06,260963.95
2024-07,287637.88
2024-08,305196.11
2024-09,307701.89
2024-10,332053.85
2024-11,364234.75
2024-12,375262.66
2025-01,424416.52
2025-02,425839.62
2025-03,554914.17
2025-04,627804.42
2025-05,569987.05
